BestShot@59,Library
3064816050,3889535484
2892615874,3736416200
2862581162,3594309164
3174973498,2754672380
2891089897,2453944175
2580441858,2508217058
2349847601,2861497473
2576024085,2869280701
2627801661,3047407123
2581543282,3068298460
2775571054,2982235952
2959532187,3226239508
2833820156,3287566418
3048788515,3438105387
2893525934,3164556482
3305068770,3434422626
3628484048,3856678665
3027628018,4136450242
3452061389,4239626108
2961994532,3356406496
2759466552,3024356846
2706139543,2984768659
2826597427,3056772592
2888463202,3166674129
2964543408,3271247971
3047435082,3275276727
3055228652,3211766802
2997168797,3293938378
2698941215,3199841339
2679676124,3101341054
2788391030,3141182435
3054015865,3155969572
3069828434,3338171385
3082238526,3404204099
3080409707,3705663501
2951279183,3372668493
2562338196,3379278691
3154286320,3493066202
2930575678,3905161641
2977790008,3697953868
3016529876,3684940870
2742927936,3356335666
2426966788,3244915489
2629245916,3251145199
2709766323,3140363804
3361312230,3699791349
3330747505,3725139966
3210942948,3577005142
2973714417,3408717489
2988286694,3449351645
2902409720,3346656490
3017168786,3767310139
2867688717,3511861789
2696138125,3394775424
2673315166,3164011141
2560657719,3029813669
2757199618,3335369255
2423947274,2865027605
2637469278,3341083486
2849301665,3068218914
3115434993,3189242604
2734540573,3549110286
3193581800,3496109965
3433332492,3768573509
3204855747,3441623214
3026681535,3506254951
3187042065,2931332731
3252354798,2579034362
3244982935,2400361575
3401692131,2591137090
3618705585,2474402236
3697338156,2592372534
3505091001,2759914536
3556333773,2722487773
3568152035,2628907966
3353747380,2596638185
3370883424,2492324343
2999565012,2612271603
3569140138,2784918580
3332459034,2770673321
3878249899,2968341109
3992989449,2872895998
4296009423,3323284206
4308197207,3191179010
3982298153,3207700224
3576875700,2575777794
3916933565,2484932549
3777533445,2584295695
3798305072,2742510470
3678980971,2735948703
3701270845,2889105414
4295793935,2635179778
4422987043,3006884287
4176884844,2847945999
4145144639,2978793207
3966795017,2620844157
3658207049,2556634038
3791470376,2566191337
3855029452,2604103529
4170938246,2713528465
4003432979,2827402295
3889522568,2893396410
3717773306,2749112065
3524096792,2411691453
3375508956,2395301575
3375801534,2493297105
3922414700,2406425140
3893999340,2829727688
3686365465,2754659669
3782295686,2914809000
3546184730,2603820707
3505604839,3027052186
3637977645,2666420933
3367296885,4086860274
3755679521,4089172470
3384758691,3861715382
2839484635,3309184951
2964350204,3269712029
3085551636,3275927959
3305698730,3198643683
2935317101,3143679386
3240199635,3283587510
3213708077,3349515952
3412044725,3788446627
3129130040,3947596084
3368083969,3835513653
2930685009,3670932197
3070249406,3536207396
2440279784,2910256874
2937777152,2494825209
2406436529,2725372669
2647993181,3229494072
2765297682,2852509433
2895948323,2799706818
2689425686,2874803111
2968201598,2862979682
3195411303,2935331623
3086878584,2950300867
3211321117,2839774127
3085216454,3041594227
3629859306,3487644368
3683454638,3579884527
3801514449,3593235467
3539650763,3655770979
3036799179,2915973203
3588931463,3327333159
3221824750,3544349636
3273942333,3389283463
3312288598,3359204513
3087502570,2988680579
2724582450,3114461467
2998545778,2861364520
3008710246,2815730059
3564344955,3604395141
3285793529,3347921430
3544181698,3351159900
3140836801,3252157553
3355234824,3265174908
3297931727,3164224188
2962579023,3127347541
2984035620,3172555442
2951436246,3275040477
3306707665,3356312997
3036219417,3818315609
3216316466,3572292749
3055015246,3624266707
2928719084,3187703454
2704713292,3091344532
2725668686,2998246533
2802277779,3056737003
3530170175,3547356824
2992391564,3521880925
3025446730,3657158523
2875715663,3572082198
2934890823,3525020166
3178743628,3538581287
2843804530,2871419568
1620161672,2452576448
1619702267,1553041769
1897242958,1615577919
1824922763,1658222032
1804743688,1833665010
1915393391,1745192552
1866775901,1819881896
1887050700,1770597576
1886163651,1720136577
1985386523,1872371694
1982501631,1706901728
2035489824,1782699759
2179375384,1905163110
2128160173,1816359563
2962510398,3175463854
1956521514,2440256688
1592961330,1530832849
1786625149,1560590168
1754450117,1733362060
1995364079,1649263494
1949741170,1735258051
1852578445,1738053887
1911464505,1762810206
1906529650,1692255127
1999884129,1790470552
2026378012,1764404412
2060350889,1736386149
2153923158,1936834573
1986273829,1824818239
1751609740,1623628704
3638714699,3300950032
3174873163,2989145763
3140382361,2978983724
3087932978,2859010983
2973964465,2668708389
3026865665,2916449912
3003797372,2511625740
2866806084,2845587637
3272353584,2925915975
3459690950,3127207933
3194956385,3308749812
3778754495,3296072877
3508656028,3610957687
3553239635,3295246729
3239621535,2974850057
2622595666,2991173569
1584402910,2189851518
1603768889,1534201261
1760685358,1524186730
1760179814,1538592021
1794006154,1776586616
1957127214,1745794015
1869152936,1840036910
1918215482,1771716771
1986245130,1693147779
1999885091,1831633538
1991213795,1698000375
2036812374,1780960210
2060687643,1738283737
2024830636,1812315276
1742066438,1604736902
3400235412,4121942982
3524455100,4150258870
3281458434,3996106030
3007258161,3496669160
2804965376,3225289176
2987375622,3381618234
3204194062,3424967311
3106821724,3483590011
3374501450,3112565034
3388485013,3146704056
3628755298,3729937120
3410806287,3786257650
3386186700,3755946079
3114735086,3597280524
3174245632,3361240798
3214652185,2562182737
3127813984,2451678107
2573523044,2520841378
